,shop_name,shop_address,shop_lat,shop_lng,types,zip_code
19,Food Lion,"1764 State Hwy 48, Clarksville, TN 37040",36.478286,-87.3773119,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37040
20,Food Lion,"411 W Lincoln St, Tullahoma, TN 37388",35.3573375,-86.2147084,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37388
21,Food Lion,"719 S Congress Blvd, Smithville, TN 37166",35.9530756,-85.8140212,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37166
22,Food Lion,"400 Market Square Plaza, Livingston, TN 38570",36.3964666,-85.3215301,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",38570
23,Food Lion,"944 Hillsboro Blvd, Manchester, TN 37355",35.4731239,-86.0797316,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37355
24,Food Lion,"2917 Old Knoxville Hwy, Maryville, TN 37804",35.8017212,-83.9447576,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37804
25,Food Lion,"1707 E Lamar Alexander Pkwy, Maryville, TN 37804",35.7565232,-83.9479709,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37804
26,Food Lion,"1245 E Spring St, Cookeville, TN 38501",36.1530082,-85.4787049,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",38501
27,Food Lion,"377 W Jackson St, Cookeville, TN 38501",36.1568999,-85.5154458,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",38501
0,H G Hill Food Stores,"3105 Dickerson Pike, Nashville, TN 37207",36.2301425,-86.7577511,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37207
1,H G Hill Food Stores,"3611 Gallatin Pike, Nashville, TN 37216",36.212632,-86.7325437,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37216
22,H.G Hill Food Store,"212 goodlettsville, Goodlettsville, TN 37072",36.31409,-86.7119371,"['store', 'point_of_interest', 'establishment']",37072
23,H.G. Hill Food Store,"2498 Highway 49 East, Pleasant View, TN 37146",36.396843,-87.0314259,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37146
24,H.G. Hill Food Store,"519 Memorial Blvd, Springfield, TN 37172",36.5072985,-86.882437,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37172
48,H.G. Hill Food Stores,"200 W Broadway, Gallatin, TN 37066",36.3895785,-86.4513749,"['food', 'point_of_interest', 'establishment']",37066
51,Savi Urban Market,"415 Church St, Nashville, TN 37219",36.1634125,-86.779421,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37219
0,Kroger Bakery,"Nashville, TN 37211",36.046569,-86.7152854,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",37211
1,Kroger,"845 Nashville Pike, Gallatin, TN 37066",36.3779437,-86.4654592,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37066
8,Kroger,"845 Nashville Hwy, Columbia, TN 38401",35.630538,-87.0274602,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",38401
9,Kroger,"8141 TN-100, Nashville, TN 37221",36.0433407,-86.9565322,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37221
19,Kroger,"800 Monroe St, Nashville, TN 37208",36.1758803,-86.7942479,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
30,Kroger,"711 Gallatin Ave, Nashville, TN 37206",36.1844297,-86.7468566,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37206
